176.063, 204.179
185.665, 216.437
205.25, 199.994
193.515, 220.798
217.142, 213.33
184.705, 218.947
211.525, 201.677
191.2, 176.749
180.57, 194.223
183.366, 184.295
24.4263, -2.71538
-19.0458, -24.7665
-24.5544, -6.10599
1.58315, 3.55922
5.0882, 5.35829
-16.6883, 8.15226
-2.46055, -7.39387
-22.148, 5.38423
14.1659, 15.1303
0.99414, -9.90249
-182.201, -189.666
-178.205, -179.714
-199.032, -218.883
-202.896, -214.234
-182.888, -215.52
-187.017, -183.817
-176.16, -176.015
-195.425, -206.378
-212.689, -211.136
-183.993, -224.813
